EX_sucr(e)	0.035057326031671374
EX_glc_D(e)	1.2433675499941996
EX_fru(e)	0.333044879462732
EX_lcts(e)	0.08180042740723321
EX_malt(e)	0.09348620275112367
EX_gal(e)	0.333044879462732
EX_but(e)	3.697018962722108
EX_octa(e)	0.7178595495221837
EX_dca(e)	1.359362874561988
EX_ddca(e)	1.3847788718868814
EX_ttdca(e)	3.85111033897336
EX_hdca(e)	8.348729778584827
EX_ocdca(e)	3.445875796779405
EX_hdcea(e)	0.9423824675819248
EX_ocdcea(e)	8.028327247068255
EX_CE2510(e)	0
EX_doco13ac(e)	0
EX_lnlc(e)	1.0950570342205321
EX_strdnc(e)	0
EX_arachd(e)	0
EX_tmndnc[e]	0
EX_clpnd(e)	0
EX_crvnc(e)	0
EX_chsterol(e)	0.08172692087359873
EX_ca2(e)	5.040171665252756
EX_fe2(e)	0.0015757901334049603
EX_fe3(e)	0.0015757901334049603
EX_mg2(e)	0.3291503805801275
EX_pi(e)	1.475318115468648
EX_k(e)	0.7775274116777455
EX_na1(e)	10.909200390200695
EX_zn2(e)	0.017864790455796878
EX_cu2(e)	0.00006924117961791457
EX_mn2(e)	0.00021842786724573103
EX_h2o(e)	1110.3907349760868
EX_etoh(e)	0
EX_trp_L(e)	1.0086904064728546
EX_thr_L(e)	3.3008952377114684
EX_ile_L(e)	3.4610807567721684
EX_leu_L(e)	5.568223314419366
EX_lys_L(e)	2.6223627760359522
EX_met_L(e)	1.3805924886385952
EX_phe_L(e)	2.448103416024423
EX_tyr_L(e)	2.3025743907587954
EX_val_L(e)	4.514013673500572
EX_arg_L(e)	1.1757393602722237
EX_his_L(e)	1.32770797643125
EX_ala_D[e]	1.58710204594739
EX_ala_L(e)	1.58710204594739
EX_asp_D[e]	2.472468615319161
EX_asp_L(e)	2.472468615319161
EX_glu_L(e)	12.203559645308385
EX_gly(e)	2.744229790612603
EX_pro_D[e]	4.084061130630024
EX_pro_L(e)	4.084061130630024
EX_ser_L(e)	2.797532842464645
EX_ascb_L(e)	0
EX_thm(e)	0.00004522250603532028
EX_ribflv(e)	0.0003007727361736872
EX_nac(e)	0.00017035007759937427
EX_ncam(e)	0.00017031785569819675
EX_pnto_R(e)	0.0002584464800414247
EX_pydam(e)	0.000029156644070267514
EX_pydx(e)	0.000029512289475678282
EX_pydxn(e)	0.000029160642432596557
EX_5mthf(e)	0.0000015268910600310308
EX_fol(e)	0.0000015895020203706037
EX_thf(e)	0.0000015786626156680458
EX_chol[e]	0.05913365357662608
EX_adpcbl(e)	5.773680096845886e-7
EX_retinol(e)	0.000242972983917702
EX_caro(e)	0.000042468175876362465
EX_avite1(e)	0.00017645443145569568
EX_vitd3(e)	4.159758650803081e-7
EX_phyQ(e)	0.000002041288612249906
